20240602	23:08:39	c7eb5ef3-e80a-41c3-8f64-16248ccfb934	/	GET
20240602	23:08:39	26942c91-c617-456b-bdc2-25ad5eae377f	ReferenceError: filePath is not defined
20240602	23:11:07	75735b0b-3b1d-4964-8e8b-04c930d2ad8f	/	GET
20240602	23:11:08	eec39ada-b8e5-4f13-af80-a2b1d2c1175c	/css/style.css	GET
20240602	23:11:08	2fb5eec2-5960-4831-af3a-06a7f973ffc4	/favicon.ico	GET
20240602	23:11:13	3dc99ce3-0975-44ae-b361-86938f336442	/	GET
20240602	23:11:13	8cf99a4f-c0a0-4ce5-b0c2-be93796f31ae	/css/style.css	GET
20240602	23:11:40	87f6f83c-7538-4dfa-ac51-5d4744a27d97	/40	GET
20240602	23:11:41	b5f896f1-4807-4d10-aa71-b31c16647089	/css/style.css	GET
20240602	23:11:56	5647c92f-6345-49cb-9fb8-7c73ec25bec5	/new-page.html	GET
20240602	23:11:56	88177890-ffdb-4ffc-8903-0d7732b24176	/css/style.css	GET
20240602	23:11:56	65cd7b63-2282-40a7-a902-d505360ed47a	/img/img1.jpg	GET
20240602	23:12:03	f3e468d8-aa16-4a9f-b1b1-8f6758a9ea3e	/new-page.html	GET
20240602	23:12:03	89302fcb-5707-4cf7-9638-55e06762ed0c	/css/style.css	GET
20240602	23:12:03	992d3fa8-fedb-4382-bec9-dbaf9c83afef	/img/img1.jpg	GET
20240602	23:12:19	4d00036f-f02b-4e04-b98f-8f78d067a0d4	/new-page.html	GET
20240602	23:12:19	db0bce0b-2230-40ac-8b0d-60a54bed7956	/css/style.css	GET
20240602	23:12:19	9c543378-130c-4d04-98ed-27e755c6ec1e	/img/img1.jpg	GET
20240602	23:12:20	09edc51e-92c0-4530-8235-903558604f72	/new-page.html	GET
20240602	23:12:20	c8ce88ae-9170-481d-b405-a889af730b67	/css/style.css	GET
20240602	23:12:20	f1065740-9cb5-4fa7-beab-ef1d9e477206	/img/img1.jpg	GET
20240602	23:13:39	1c223f20-8f47-484e-8a30-6f7e98995dc3	/new-page.html	GET
20240602	23:13:39	75ab93b8-92d2-4730-bb46-458b43c70dc4	/css/style.css	GET
20240602	23:13:39	23b9e8d1-b487-4f0d-841a-319ea96f8435	/images/img1.jpg	GET
20240603	22:21:18	50da50c8-0710-4e0c-b169-446b5e5e30ae	GET	undefined	/new-page.html
20240603	22:21:18	8051efe9-7562-4e1d-9912-1ccd165dcc57	GET	undefined	/css/style.css
20240603	22:21:18	693d46f6-5210-4fae-bb16-d43ff7c830a8	GET	undefined	/images/img1.jpg
20240603	22:26:56	fde0c130-3345-4bc7-803e-a5451b2ccf33	GET	undefined	/new-page.html
20240603	22:26:56	0aac615a-eb1a-4f5a-aa12-377eed92df6e	GET	undefined	/css/style.css
20240603	22:26:56	c799d784-86fe-4d56-8e7b-0189090e737a	GET	undefined	/images/img1.jpg
20240603	22:27:00	7f67e69f-a205-4651-a46f-f5b77c067888	GET	undefined	/new-page.html
20240603	22:27:00	80133843-8352-4e56-8ef0-1bfa8199c130	GET	undefined	/css/style.css
20240603	22:27:00	037d673f-f6b8-4247-a99e-ee19aadf7319	GET	undefined	/images/img1.jpg
20240603	22:30:16	fcbf72a0-3e25-469b-83c3-66236318664b	OPTIONS	https://www.google.com	/
20240603	22:30:16	79866578-d1f4-4044-aa71-c58f7139f860	GET	https://www.google.com	/
20240603	22:44:28	74f18737-e261-4ecd-884d-786ab4b7c21d	OPTIONS	https://www.google.com	/
20240603	22:44:28	a3a90311-b44d-420d-b537-358d32bbf986	GET	https://www.google.com	/
20240604	15:11:02	bae00c22-0da1-4b1f-b24e-5f41d25a04f1	GET	undefined	/
20240604	15:11:02	865c6c99-4861-425f-9a04-5b549438dfd5	GET	undefined	/css/style.css
20240604	15:11:03	7b14adf0-136e-4bc6-82a4-84b03ba3de50	GET	undefined	/favicon.ico
20240604	15:11:07	dc2c13b7-0e39-4869-927c-168fe6b2e461	GET	undefined	/old-page
20240604	15:11:07	407cad3a-9166-457f-8059-4c33c286e537	GET	undefined	/new-page.html
20240604	15:11:08	8e6c7fd8-942b-4336-805a-cdddab0a2b2e	GET	undefined	/css/style.css
20240604	15:11:08	77404674-8ef8-4fe1-a791-be8ae48cb5e4	GET	undefined	/images/img1.jpg
20240604	15:12:17	f1b0d2b5-0349-4595-8ea7-1660910705f8	GET	undefined	/
20240604	15:25:13	4a30bb4b-e3d5-4ae4-ae3c-839af0352623	GET	undefined	/new-page.html
